code,character,scripter,rank,artist,name,story
0,神秘嘉宾,大山深处的唢呐,SP,一颗秃头大米,梦中人,"天秤座群星有七。当中六颗，在一次星云交替中被音符接连点亮。
探寻之地的人们记录着这一切。
世纪更替，永恒的议题日渐兴起，不灭的群星已成为信仰，观星的意义非比寻常。
六颗星的相关内容已完整收录，只是尚有一颗星星未曾亮起。
观测者们组织新的队伍，尝试了各种方法——她们进行了数百次长期观测，试图从测算出的星落之地处找到一点光，却屡屡碰壁。第七颗星从未在仪器中现身。
她们聘请了最长寿的远古星系学家，却得到已知的结论：
第七颗星的确存在过，或者说，依旧存在着。但似乎在拒绝929号星云体系的变更，蒙住了脸那般隐藏着自己的光。
或许，这就是祂的意愿吧。
观测者们想。她们撤掉了设备，遣散了队伍。
在大家默认接受这份遗憾时，群星下的所有人同时做了一个梦：
梦中的神祇，只身出现在废弃的宫殿，经过的裂痕处开满鲜花。祂对着人们的眼睛笑，跟随着祂的蝴蝶亲吻着过往的幻影，像星光绽放那样，向着大地散开。
醒来后，观测者们聚到旧观星基地。
那里已拆迁大半，政府打算将其改造成抚慰花园。观测者把仪器运回来，再次看向宇宙。
第七颗星的星体依旧暗，周围却有粉末样的光点围绕，沿着群星间的音轨漂浮，又在一阵云流后淡淡散去。
太阳运行至此，昼夜交替。星星悄无声息。
像一场不期而至的告别。"
1,周深,AAAray烤布蕾糖师傅,SP,某个画画的王工头,花开相见,"我知道，我曾经也是一颗躲在土地里，用柔软湿润的外壳裹住内心的种子。
我扎根生长之时，我破土发芽之时，我含苞待放之时，我肆意盛开之时，我的守护神出现在我的人生日记的每一个角落，是阳光，是雨露，是微风，是春雪。无论我是裹住内心沾满泥土的种子，还是万千新生的初芽中平平无奇的一颗粟米，你们都依然爱着我，对吗？
消散在风中的答案在盛开之时有了响遍繁花似锦的山谷的回声，它说：“承诺便是，花开，我们相见。”
星轨抖落下的星尘变为光点慢慢汇聚于我的周围，汇聚成了那些米白色的、圆滚滚的、全宇宙最可爱的小米粒，它们便是我的守护神，陪伴了我不朽的旅程。
我终于真实存在，终于对自己够坦白。
“嗨，是你啊，我是深深，深深的，深深。”我的日记以这句话开头。
“我爱你们。”我的日记打算以这句话结尾，只是这段故事，还未完待续。 "
2,周深,AAAray烤布蕾糖师傅,SSR,邪恶小毛米,夜月昼星,"如果我是宇宙之神指尖轻轻捻下的星尘，落在只有我存在的星球上，我的盛开还有人能听见吗？
那是一颗远离地球的星球，星际探测员给它取名叫c929。蓝色和白色的勿忘我在这片土地蔓延生长，它们在夜里如月般皎洁，在白日里如星辰一般闪烁，像是明珠，见证着每一天的日出和日落。这是全宇宙最盛大的勿忘我花海，从有记录以来它便一直盛开在这座美丽的蓝色星球上，不朽不败，从不褪色。
勿忘我的花语，是跨越距离和时间的爱。
原来我的盛开正是来自于这些爱意。这里距离地球有多少光年，我也不知道，但来自于守护神恒星的光与温暖依然治愈着我。在我生长的旅途中，我经历过风雨，见过璀璨银河，从破土到花海盛开，是爱意支撑，是来自于你的陪伴。
花开是爱，是成长，那么是时候，该相见了。"
3,周深,AAAray烤布蕾糖师傅,SR,某个画画的王工头,心意,"犬蔷薇，人们又叫它狗牙蔷薇，这个名字来自于它肆意横生又荆棘遍布的枝条，它能攀上高高的教堂外壁，也能缠绕上行人的布衫，热情又漂亮，但却也像龇牙咧嘴的小狗，随时可能划破你的手指。
若我是犬蔷薇，那我便是属于旅人的花朵。是不害怕前路荆棘，朝着我的星光抽枝发芽的蔷薇花。
当魔术迎来结尾时，魔术师微微笑着向台下的观众脱帽致意，红色的花瓣随风而起又轻轻落下，那是这强大又漂亮的花去除了锋芒只剩下温柔的部分，是来自犬蔷薇的心意。"
4,周深,AAAray烤布蕾糖师傅,SR,啾星原产果冻现摘现发,火焰之心,"初夏凌晨时天微微亮起，我睁开双眼，我的心好像在燃烧。
风中摇曳的火焰高唱着赞颂太阳的歌谣，人类赋予这热情又圣洁的植物以跨越生死的思念与忠贞的含义，那是盛开的虞美人，好似永生不灭的火焰。
这是一个不错的选择，红色的虞美人就这样在花期骄傲地肆意盛放，和朝霞拥抱再告别，无拘无束地蔓延到这片大地的每一个角落，带来了一个新的时代，和一个全新的、自由的、个性的我自己。
“劲焱不兴润，零雨莫能濡。”
零零细雨又怎能浇灭我那纯净的火焰之心"
5,周深,AAAray烤布蕾糖师傅,R,邪恶小毛米,树下兰芽,"当我还在生根发芽时，我时常思考自己应该开出什么花。
若我将生长成为玉兰花，我便不会惧怕呼啸而来的倒春寒。兰是形，玉是魄，春雪是新生的温度，纯真是闪烁的品格。我伸出的枝头能够停歇赶春的青鸟，我晶莹的心脏能够点亮雪夜的前路。
太阳升起时，树下的融雪化成一湾小小的湖泊，玉兰花瓣落下来清清点破平静的水面，粼粼的波光像是儿时被打破的玻璃碎片，又煣在一起，变成更坚固的物质。"
7,周深,AAAray烤布蕾糖师傅,R,花路少年,铃芽,"在以我为圆心，我的身长为半径的区域内迎来了一场太阳雨，像是春天给予我的一场盛宴。
裹挟着独属于阳光的温暖的雨水汩汩流入土壤中，汇集于我的身边，唤醒了蜷缩着沉睡的我，胚芽在生长，双脚在扎根，终于，我破土而出，成为这片大地上独享阳光和甘霖的小芽。
我用双手掬起一捧无形的阳光，它不会从我的指缝中流逝，只是静静地和我的心相互辉映，那一刻的同频，让我很想歌唱。
“那就跟这个世界，说一声‘嗨’吧。”于是，清脆又稚嫩的哼鸣声随风而起，吹向远方的原野。"
8,周深,AAAray烤布蕾糖师傅,R,花路少年,风铃声声,"午后，我坐在春天送来风铃里轻轻哼着生命之歌，玻璃窗外，整片土地的生灵都为我打起了节拍。
它随着春风陶醉，晃悠，晃悠，每晃悠一下，星星点点的尘埃就散落下来，被穿透枝桠的阳光照耀地亮晶晶的，土地之上，斑斑驳驳的投影好像在呼吸。
这是我午后休憩的摇篮，却不是我的温室。
爱意的浇灌让我的枝桠蓬勃生长，风铃声声中，无论我怎样转身，守护神化作的风都会托起我的盛开。"
6,周深,AAAray烤布蕾糖师傅,R,啾星原产果冻现摘现发,春日来信,"假如我生来就是宏大爱意的一个小小碎片，被盖在来自春天的信纸之中，那么我便会悄悄生长，等待有缘人见证我的花开。
我藏匿的信纸，是一张经过精心设计的、漂亮的信纸，像是有仪式感的人特地准备的一份礼物。蓝色绸缎般的花纹缠绕于纸面之上，信纸是粗砺的，阳光能透过纸纹的缝隙照射进来，我轻轻地呼吸着，感受着。
在阳光之下，会有我的守护神笑着把这张春日来信种下，等待爱意肆意生长。"
9,周深,AAAray烤布蕾糖师傅,R,花路少年,一粒粟,"春天，我和千千万万颗渺小的种子一样，一挥手，便被播撒到土地里。
农耕之神的信使告诉我们，唯有来自于守护神爱意的浇灌，才会生根发芽，开出永生的爱之花。
“可是，谁又会选择我呢，我只是千万种子中普通的一颗。”我用只有我能听得见的声音问到。
我铸造了两层保护壳试图裹住我自己：第一层是泥土，保护我瘦小的身体；第二层是我的种皮，保护我敏感又不安的内心。
可我不知道，莹莹的光从我的身体里亮起，照亮了周围每一颗沙砾。那是我的心，等待着被爱着的心。
“春天种下的一粒种子，在秋天能收获爱吗？”答案消散在我沉睡前的虫鸣声中。"
